date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:55	207/207	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20May%202020%2007:10:54%20GMT	https://117673.8b.io/robots.txt		(from )
00:10:59	134865/134865	---M--	200	added ('OK')	text/html	etag:%22b7437e985f65453d29334c6b3f5345a1%22	https://117673.8b.io/	C:/Users/KUNAL/Desktop/update/117673.8b.io/index.html	(from )
00:11:00	22275/22275	---M--	200	added ('OK')	image/png	etag:%22b53bd55abb599159aaf2474ffad2d19d%22	https://r.8b.io/117673/assets/images/r_life_128x121.png	C:/Users/KUNAL/Desktop/update/r.8b.io/117673/assets/images/r_life_128x121.png	(from https://117673.8b.io/)
00:11:02	182621/182621	---M--	200	added ('OK')	image/jpeg	etag:%2202a6f2b1db8681fb47417c24c6e9c749%22	https://app.8b.io/app/themes/webamp/components/header1/presets/backgrounds/05.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/components/header1/presets/backgrounds/05.jpg	(from https://117673.8b.io/)
00:11:04	253332/253332	---M--	200	added ('OK')	image/jpeg	etag:%2210c313effd4af9ff4c005c4ad226937f%22	https://app.8b.io/app/themes/webamp/components/header1/presets/backgrounds/01.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/components/header1/presets/backgrounds/01.jpg	(from https://117673.8b.io/)
00:11:04	82362/82362	---M--	200	added ('OK')	image/jpeg	etag:%220c19704678895f1a603ebdfdcf8c8dbe%22	https://r.8b.io/117673/images/53e9d1424950b108feda846096293-h_ka4zvyd8.jpg	C:/Users/KUNAL/Desktop/update/r.8b.io/117673/images/53e9d1424950b108feda846096293-h_ka4zvyd8.jpg	(from https://117673.8b.io/)
00:11:04	131912/131912	---M--	200	added ('OK')	image/jpeg	etag:%2207c5756f66168f23dd61c454b868e0de%22	https://app.8b.io/app/themes/webamp/components/title1/presets/backgrounds/01.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/components/title1/presets/backgrounds/01.jpg	(from https://117673.8b.io/)
00:11:06	261207/261207	---M--	200	added ('OK')	text/javascript	etag:%22a845766d881b4c27%22	https://cdn.ampproject.org/v0.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0.js	(from https://117673.8b.io/)
00:11:06	36103/36103	---M--	200	added ('OK')	text/javascript	etag:%2242224cb611244264%22	https://cdn.ampproject.org/v0/amp-mustache-0.2.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-mustache-0.2.js	(from https://117673.8b.io/)
00:11:07	99941/99941	---M--	200	added ('OK')	text/javascript	etag:%2257e57a4a941c1488%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://117673.8b.io/)
00:11:08	25773/25773	---M--	200	added ('OK')	text/javascript	etag:%22fe006f0421339d85%22	https://cdn.ampproject.org/v0/amp-sidebar-0.1.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-sidebar-0.1.js	(from https://117673.8b.io/)
00:11:08	31239/31239	---M--	200	added ('OK')	text/javascript	etag:%22db515297a9c1c62b%22	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from https://117673.8b.io/)
00:11:09	23987/23987	---M--	200	added ('OK')	text/javascript	etag:%2291391d2e35f72344%22	https://cdn.ampproject.org/v0/amp-iframe-0.1.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-iframe-0.1.js	(from https://117673.8b.io/)
00:11:10	48474/48474	---M--	200	added ('OK')	text/javascript	etag:%2205f779358ec4a320%22	https://cdn.ampproject.org/v0/amp-form-0.1.js	C:/Users/KUNAL/Desktop/update/cdn.ampproject.org/v0/amp-form-0.1.js	(from https://117673.8b.io/)
00:11:11	143919/143919	---M--	200	added ('OK')	image/jpeg	etag:%22db9f672f08729e5519c5da15d1212e8e%22	https://r.8b.io/117673/images/52e2d1454357a814f6d1867dda793-h_ka4zrjnc.jpg	C:/Users/KUNAL/Desktop/update/r.8b.io/117673/images/52e2d1454357a814f6d1867dda793-h_ka4zrjnc.jpg	(from https://117673.8b.io/)
00:11:14	259562/259562	---M--	200	added ('OK')	image/jpeg	etag:%2251c5f4b29b6c2077d487b8317fe0d874%22	https://app.8b.io/app/themes/webamp/projects/portfolio/assets/images/mbr-1.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/projects/portfolio/assets/images/mbr-1.jpg	(from https://117673.8b.io/)
00:11:14	69828/69828	---M--	200	added ('OK')	image/jpeg	etag:%226c94145b9092c7e352b5246be99f348e%22	https://app.8b.io/app/themes/webamp/projects/portfolio/assets/images/02-696x1044.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/projects/portfolio/assets/images/02-696x1044.jpg	(from https://117673.8b.io/)
00:11:19	323904/323904	---M--	200	added ('OK')	image/jpeg	etag:%22f9a1150cd5baa8c6faa33b72519ed299%22	https://app.8b.io/app/themes/webamp/projects/portfolio/assets/images/mbr.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/projects/portfolio/assets/images/mbr.jpg	(from https://117673.8b.io/)
00:11:19	348901/348901	---M--	200	added ('OK')	image/jpeg	etag:%2256534889aedf337ebc84535d12fba7c5%22	https://app.8b.io/app/themes/webamp/projects/portfolio/assets/images/pexels-photo-137142-696x1006.jpg	C:/Users/KUNAL/Desktop/update/app.8b.io/app/themes/webamp/projects/portfolio/assets/images/pexels-photo-137142-696x1006.jpg	(from https://117673.8b.io/)
00:11:20	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20May%202020%2007:11:19%20GMT	https://117673.8b.io/index.html	C:/Users/KUNAL/Desktop/update/117673.8b.io/index.11.delayed	(from https://117673.8b.io/)
